TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,Percent
2019,UHF34,105106107,3,South Bronx,"128,000","33.0 (27.2, 39.4)"
2019,Borough,1,1,Bronx,"343,000","33.5 (30.0, 37.2)"
2019,Borough,2,1,Brooklyn,"490,000","25.8 (23.4, 28.4)"
2019,Borough,3,1,Manhattan,"227,000","17.4 (14.8, 20.5)"
2019,Borough,4,1,Queens,"408,000","23.4 (20.7, 26.3)"
2019,Borough,5,1,Staten Island,"106,000","29.3 (23.4, 35.9)"
2019,Citywide,1,0,New York City,"1,574,000","24.9 (23.5, 26.3)"
2018,UHF34,101,3,Kingsbridge - Riverdale,"17,000","23.1 (15.7, 32.7)"
2018,UHF34,102,3,Northeast Bronx,"53,000","35.1 (26.6, 44.6)"
2018,UHF34,103,3,Fordham - Bronx Pk,"58,000","31.9 (24.3, 40.5)"
2018,UHF34,104,3,Pelham - Throgs Neck,"80,000","34.0 (27.6, 40.9)"
2018,UHF34,201,3,Greenpoint,"29,000*","28.4* (17.9, 41.9)"
2018,UHF34,202,3,Downtown - Heights - Slope,"32,000","18.3 (12.7, 25.7)"
2018,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"77,000","31.4 (24.9, 38.8)"
2018,UHF34,204,3,East New York,"31,000*","22.4* (13.6, 34.5)"
2018,UHF34,205,3,Sunset Park,"20,000","20.5 (13.6, 29.8)"
2018,UHF34,206,3,Borough Park,"49,000","20.9 (15.6, 27.5)"
2018,UHF34,207,3,East Flatbush - Flatbush,"77,000","32.5 (25.2, 40.9)"
2018,UHF34,208,3,Canarsie - Flatlands,"47,000","30.1 (21.4, 40.6)"
2018,UHF34,209,3,Bensonhurst - Bay Ridge,"47,000","28.6 (22.2, 36.1)"
2018,UHF34,210,3,Coney Island - Sheepshead Bay,"67,000","28.4 (22.1, 35.8)"
2018,UHF34,211,3,Williamsburg - Bushwick,"46,000","29.3 (21.0, 39.3)"
2018,UHF34,301,3,Washington Heights,"60,000","29.2 (22.1, 37.4)"
2018,UHF34,302,3,Central Harlem - Morningside Heights,"46,000","36.6 (28.8, 45.2)"
2018,UHF34,303,3,East Harlem,"22,000*","26.9* (17.2, 39.3)"
2018,UHF34,304,3,Upper West Side,"31,000","17.0 (10.3, 26.9)"
2018,UHF34,401,3,Long Island City - Astoria,"37,000","20.8 (13.4, 30.8)"
2018,UHF34,402,3,West Queens,"94,000","25.5 (20.1, 31.7)"
2018,UHF34,403,3,Flushing - Clearview,"38,000","18.2 (10.9, 28.7)"
2018,UHF34,405,3,Ridgewood - Forest Hills,"48,000","23.0 (17.2, 30.1)"
2018,UHF34,407,3,Southwest Queens,"54,000","25.4 (19.2, 32.8)"
2018,UHF34,408,3,Jamaica,"59,000","26.9 (19.3, 36.1)"
2018,UHF34,409,3,Southeast Queens,"51,000","32.8 (23.8, 43.2)"
2018,UHF34,410,3,Rockaways,"30,000*","36.4* (26.6, 47.5)"
2018,UHF34,305307,3,Upper East Side-Gramercy,"27,000","8.8 (5.8, 12.9)"
2018,UHF34,306308,3,Chelsea-Village  ,"26,000","12.9 (7.6, 21.0)"
2018,UHF34,309310,3,Union Square-Lower Manhattan,"30,000","14.3 (9.4, 21.1)"
2018,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"33,000","22.2 (15.2, 31.3)"
2018,UHF34,501502,3,Northern SI,"55,000*","38.8* (27.6, 51.2)"
2018,UHF34,503504,3,Southern SI,"75,000","35.7 (27.6, 44.7)"
2018,UHF34,105106107,3,South Bronx,"126,000","31.1 (26.5, 36.1)"
2018,Borough,1,1,Bronx,"336,000","31.8 (28.7, 34.9)"
2018,Borough,2,1,Brooklyn,"527,000","26.9 (24.6, 29.4)"
2018,Borough,3,1,Manhattan,"242,000","18.3 (15.9, 21.0)"
2018,Borough,4,1,Queens,"447,000","24.5 (22.0, 27.2)"
2018,Borough,5,1,Staten Island,"130,000","35.9 (29.3, 43.0)"
2018,Citywide,1,0,New York City,"1,682,000","25.8 (24.5, 27.1)"
2017,UHF34,101,3,Kingsbridge - Riverdale,"17,000*","23.7* (14.7, 35.9)"
2017,UHF34,102,3,Northeast Bronx,"41,000","27.9 (21.2, 35.9)"
2017,UHF34,103,3,Fordham - Bronx Pk,"69,000","36.5 (29.6, 44.0)"
2017,UHF34,104,3,Pelham - Throgs Neck,"74,000","32.0 (25.4, 39.5)"
2017,UHF34,201,3,Greenpoint,"22,000","21.1 (13.0, 32.2)"
2017,UHF34,202,3,Downtown - Heights - Slope,"39,000","21.8 (15.3, 30.0)"
2017,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"88,000","36.1 (30.3, 42.5)"
2017,UHF34,204,3,East New York,"42,000","31.7 (24.4, 40.0)"
2017,UHF34,205,3,Sunset Park,"22,000","22.5 (15.0, 32.3)"
2017,UHF34,206,3,Borough Park,"47,000","19.7 (15.2, 25.2)"
2017,UHF34,207,3,East Flatbush - Flatbush,"79,000","33.9 (27.6, 40.8)"
2017,UHF34,208,3,Canarsie - Flatlands,"36,000","23.5 (17.1, 31.3)"
2017,UHF34,209,3,Bensonhurst - Bay Ridge,"32,000","19.5 (13.7, 27.1)"
2017,UHF34,210,3,Coney Island - Sheepshead Bay,"62,000","26.4 (20.8, 32.8)"
2017,UHF34,211,3,Williamsburg - Bushwick,"44,000","27.5 (20.8, 35.4)"
2017,UHF34,301,3,Washington Heights,"57,000","29.0 (21.9, 37.3)"
2017,UHF34,302,3,Central Harlem - Morningside Heights,"30,000","24.8 (17.2, 34.3)"
2017,UHF34,303,3,East Harlem,"23,000*","28.6* (17.5, 43.1)"
2017,UHF34,304,3,Upper West Side,"25,000","13.4 (8.4, 20.6)"
2017,UHF34,401,3,Long Island City - Astoria,"41,000","24.0 (17.1, 32.5)"
2017,UHF34,402,3,West Queens,"74,000","19.7 (15.7, 24.4)"
2017,UHF34,403,3,Flushing - Clearview,"38,000","17.9 (11.6, 26.7)"
2017,UHF34,405,3,Ridgewood - Forest Hills,"46,000","22.7 (16.6, 30.3)"
2017,UHF34,407,3,Southwest Queens,"64,000","30.6 (24.4, 37.6)"
2017,UHF34,408,3,Jamaica,"75,000","33.5 (25.8, 42.1)"
2017,UHF34,409,3,Southeast Queens,"26,000","17.1 (11.4, 24.8)"
2017,UHF34,410,3,Rockaways,"27,000","33.7 (24.7, 44.1)"
2017,UHF34,305307,3,Upper East Side-Gramercy,"40,000","12.9 (8.1, 19.9)"
2017,UHF34,306308,3,Chelsea-Village  ,"18,000","9.0 (6.0, 13.3)"
2017,UHF34,309310,3,Union Square-Lower Manhattan,"32,000","15.2 (10.4, 21.6)"
2017,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"34,000","22.7 (15.8, 31.5)"
2017,UHF34,501502,3,Northern SI,"43,000","30.2 (22.4, 39.2)"
2017,UHF34,503504,3,Southern SI,"51,000","23.4 (17.0, 31.4)"
2017,UHF34,105106107,3,South Bronx,"153,000","39.1 (34.1, 44.4)"
2017,Borough,1,1,Bronx,"357,000","34.4 (31.3, 37.6)"
2017,Borough,2,1,Brooklyn,"514,000","26.4 (24.4, 28.6)"
2017,Borough,3,1,Manhattan,"226,000","17.3 (14.8, 20.0)"
2017,Borough,4,1,Queens,"426,000","23.9 (21.6, 26.3)"
2017,Borough,5,1,Staten Island,"94,000","26.0 (20.9, 31.8)"
2017,Citywide,1,0,New York City,"1,617,000","25.1 (23.9, 26.4)"
2016,UHF34,101,3,Kingsbridge - Riverdale,"18,000","25.2 (16.5, 36.4)"
2016,UHF34,102,3,Northeast Bronx,"57,000","37.5 (29.8, 45.9)"
2016,UHF34,103,3,Fordham - Bronx Pk,"53,000","28.5 (21.8, 36.3)"
2016,UHF34,104,3,Pelham - Throgs Neck,"67,000","29.0 (23.0, 35.9)"
2016,UHF34,201,3,Greenpoint,"14,000*","13.5* (7.1, 24.2)"
2016,UHF34,202,3,Downtown - Heights - Slope,"34,000","19.0 (13.5, 26.2)"
2016,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"78,000","32.1 (26.7, 37.9)"
2016,UHF34,204,3,East New York,"45,000","33.3 (24.8, 43.1)"
2016,UHF34,205,3,Sunset Park,"24,000","24.4 (16.2, 35.0)"
2016,UHF34,206,3,Borough Park,"46,000","19.6 (14.2, 26.4)"
2016,UHF34,207,3,East Flatbush - Flatbush,"59,000","25.9 (20.2, 32.6)"
2016,UHF34,208,3,Canarsie - Flatlands,"48,000","31.5 (23.1, 41.3)"
2016,UHF34,209,3,Bensonhurst - Bay Ridge,"41,000","25.8 (18.9, 34.1)"
2016,UHF34,210,3,Coney Island - Sheepshead Bay,"63,000","26.9 (21.4, 33.3)"
2016,UHF34,211,3,Williamsburg - Bushwick,"43,000","28.2 (22.1, 35.3)"
2016,UHF34,301,3,Washington Heights,"55,000","27.9 (20.9, 36.3)"
2016,UHF34,302,3,Central Harlem - Morningside Heights,"36,000","29.4 (21.9, 38.2)"
2016,UHF34,303,3,East Harlem,"20,000*","25.2* (16.3, 36.9)"
2016,UHF34,304,3,Upper West Side,"20,000","11.1 (6.6, 18.1)"
2016,UHF34,401,3,Long Island City - Astoria,"35,000","19.8 (13.2, 28.7)"
2016,UHF34,402,3,West Queens,"65,000","17.2 (13.4, 21.9)"
2016,UHF34,403,3,Flushing - Clearview,"22,000*","10.2* (5.3, 18.5)"
2016,UHF34,405,3,Ridgewood - Forest Hills,"52,000","25.5 (19.5, 32.6)"
2016,UHF34,407,3,Southwest Queens,"47,000","22.9 (17.9, 28.7)"
2016,UHF34,408,3,Jamaica,"59,000","26.7 (19.8, 34.9)"
2016,UHF34,409,3,Southeast Queens,"47,000*","29.5* (19.1, 42.5)"
2016,UHF34,410,3,Rockaways,"21,000","27.1 (19.0, 37.0)"
2016,UHF34,305307,3,Upper East Side-Gramercy,"34,000","10.9 (7.2, 16.2)"
2016,UHF34,306308,3,Chelsea-Village  ,"14,000*","6.7* (3.6, 12.2)"
