StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,OBESITY_CrudePrev,Year
NY,New York,Sullivan,36105,36105950900,43.3,2023
NY,New York,Richmond,36085,36085031902,43.3,2023
NY,New York,Erie,36029,36029005802,43.3,2023
NY,New York,Queens,36081,36081097202,43.2,2023
NY,New York,Chemung,36015,36015000700,43.2,2023
NY,New York,Chemung,36015,36015000300,43.2,2023
NY,New York,Onondaga,36067,36067003500,43.2,2023
NY,New York,Suffolk,36103,36103122501,43.2,2023
NY,New York,Lewis,36049,36049950300,43.2,2023
NY,New York,Bronx,36005,36005005300,43.2,2023
NY,New York,Ontario,36069,36069051700,43.2,2023
NY,New York,Broome,36007,36007001100,43.2,2023
NY,New York,Clinton,36019,36019100400,43.1,2023
NY,New York,New York,36061,36061024000,43.1,2023
NY,New York,Niagara,36063,36063020700,43.1,2023
NY,New York,Broome,36007,36007000500,43.1,2023
NY,New York,Niagara,36063,36063021700,43.1,2023
NY,New York,Dutchess,36027,36027220300,43.0,2023
NY,New York,Schenectady,36093,36093021400,42.9,2023
NY,New York,Erie,36029,36029000500,42.9,2023
NY,New York,Oneida,36065,36065020900,42.9,2023
NY,New York,Monroe,36055,36055005800,42.9,2023
NY,New York,Schenectady,36093,36093020800,42.8,2023
NY,New York,Schenectady,36093,36093020200,42.8,2023
NY,New York,Albany,36001,36001000100,42.8,2023
NY,New York,Onondaga,36067,36067003602,42.8,2023
NY,New York,Cattaraugus,36009,36009962200,42.8,2023
NY,New York,Onondaga,36067,36067940000,42.8,2023
NY,New York,Queens,36081,36081097203,42.7,2023
NY,New York,Lewis,36049,36049950100,42.7,2023
NY,New York,St. Lawrence,36089,36089491400,42.7,2023
NY,New York,Onondaga,36067,36067001000,42.6,2023
NY,New York,Bronx,36005,36005014500,42.6,2023
NY,New York,Cayuga,36011,36011041800,42.6,2023
NY,New York,Lewis,36049,36049950400,42.6,2023
NY,New York,Kings,36047,36047090800,42.6,2023
NY,New York,Onondaga,36067,36067002400,42.6,2023
NY,New York,Cattaraugus,36009,36009960600,42.6,2023
NY,New York,Orange,36071,36071000300,42.5,2023
NY,New York,Oneida,36065,36065020803,42.5,2023
NY,New York,Albany,36001,36001002600,42.5,2023
NY,New York,Franklin,36033,36033940000,42.5,2023
NY,New York,Onondaga,36067,36067001400,42.5,2023
NY,New York,St. Lawrence,36089,36089491600,42.5,2023
NY,New York,St. Lawrence,36089,36089492900,42.5,2023
NY,New York,Rensselaer,36083,36083040100,42.5,2023
NY,New York,Oswego,36075,36075021200,42.5,2023
NY,New York,Monroe,36055,36055004702,42.4,2023
NY,New York,Monroe,36055,36055003900,42.4,2023
NY,New York,Orleans,36073,36073040802,42.4,2023
NY,New York,Oswego,36075,36075020100,42.4,2023
NY,New York,Clinton,36019,36019102200,42.3,2023
NY,New York,Orleans,36073,36073040700,42.3,2023
NY,New York,Bronx,36005,36005023100,42.3,2023
NY,New York,Monroe,36055,36055006800,42.3,2023
NY,New York,Bronx,36005,36005023704,42.3,2023
NY,New York,Erie,36029,36029005600,42.3,2023
NY,New York,Niagara,36063,36063021100,42.2,2023
NY,New York,Sullivan,36105,36105951800,42.2,2023
NY,New York,Chautauqua,36013,36013030600,42.2,2023
NY,New York,Orleans,36073,36073401200,42.2,2023
NY,New York,Orange,36071,36071000502,42.2,2023
NY,New York,St. Lawrence,36089,36089491800,42.2,2023
NY,New York,Cattaraugus,36009,36009960100,42.2,2023
NY,New York,Oneida,36065,36065021103,42.2,2023
NY,New York,Monroe,36055,36055004701,42.2,2023
NY,New York,St. Lawrence,36089,36089492700,42.2,2023
NY,New York,Oswego,36075,36075021300,42.1,2023
NY,New York,Onondaga,36067,36067006000,42.1,2023
NY,New York,Cattaraugus,36009,36009961400,42.1,2023
NY,New York,Sullivan,36105,36105950700,42.1,2023
NY,New York,Bronx,36005,36005038302,42.1,2023
NY,New York,Monroe,36055,36055008200,42.0,2023
NY,New York,Monroe,36055,36055009604,42.0,2023
NY,New York,Jefferson,36045,36045061200,42.0,2023
NY,New York,Oswego,36075,36075021605,42.0,2023
NY,New York,Westchester,36119,36119001000,42.0,2023
NY,New York,Chautauqua,36013,36013030200,42.0,2023
NY,New York,St. Lawrence,36089,36089492800,42.0,2023
NY,New York,Queens,36081,36081002500,42.0,2023
NY,New York,Richmond,36085,36085000700,41.9,2023
NY,New York,Sullivan,36105,36105951100,41.9,2023
NY,New York,Monroe,36055,36055007100,41.9,2023
NY,New York,Ontario,36069,36069051800,41.9,2023
NY,New York,Richmond,36085,36085020700,41.9,2023
NY,New York,Oneida,36065,36065021900,41.9,2023
NY,New York,Wyoming,36121,36121970200,41.9,2023
NY,New York,Dutchess,36027,36027221100,41.9,2023
NY,New York,St. Lawrence,36089,36089490100,41.9,2023
NY,New York,Cattaraugus,36009,36009960400,41.8,2023
NY,New York,Onondaga,36067,36067001500,41.8,2023
NY,New York,Cattaraugus,36009,36009960200,41.8,2023
NY,New York,Onondaga,36067,36067002000,41.8,2023
NY,New York,Cortland,36023,36023970600,41.7,2023
NY,New York,Oswego,36075,36075020800,41.7,2023
NY,New York,Oswego,36075,36075021101,41.7,2023
NY,New York,Oswego,36075,36075020500,41.7,2023
NY,New York,Cattaraugus,36009,36009960800,41.7,2023
NY,New York,Orleans,36073,36073040400,41.7,2023
NY,New York,Oneida,36065,36065026400,41.7,2023
NY,New York,Oneida,36065,36065020802,41.7,2023
NY,New York,Bronx,36005,36005045800,41.7,2023
NY,New York,Oswego,36075,36075020302,41.6,2023
NY,New York,Franklin,36033,36033950502,41.6,2023
NY,New York,Monroe,36055,36055008100,41.6,2023
NY,New York,Onondaga,36067,36067004301,41.6,2023
NY,New York,Livingston,36051,36051031400,41.6,2023
NY,New York,Richmond,36085,36085000900,41.5,2023
NY,New York,Cattaraugus,36009,36009961000,41.5,2023
NY,New York,Monroe,36055,36055002100,41.5,2023
NY,New York,Madison,36053,36053030101,41.5,2023
NY,New York,Orleans,36073,36073040500,41.5,2023
NY,New York,Franklin,36033,36033950501,41.5,2023
NY,New York,Bronx,36005,36005016500,41.5,2023
NY,New York,Richmond,36085,36085002700,41.5,2023
NY,New York,Franklin,36033,36033950200,41.5,2023
NY,New York,Jefferson,36045,36045061300,41.5,2023
NY,New York,Chautauqua,36013,36013035700,41.5,2023
NY,New York,Cayuga,36011,36011040100,41.4,2023
NY,New York,Queens,36081,36081008700,41.4,2023
NY,New York,Suffolk,36103,36103122406,41.4,2023
NY,New York,Schenectady,36093,36093020102,41.4,2023
NY,New York,Seneca,36099,36099950800,41.4,2023
NY,New York,Livingston,36051,36051031200,41.4,2023
NY,New York,Rensselaer,36083,36083040300,41.3,2023
NY,New York,St. Lawrence,36089,36089490600,41.3,2023
NY,New York,Cayuga,36011,36011040200,41.3,2023
NY,New York,Erie,36029,36029006901,41.3,2023
NY,New York,Monroe,36055,36055008800,41.3,2023
NY,New York,Schenectady,36093,36093020700,41.3,2023
NY,New York,Onondaga,36067,36067012900,41.3,2023
NY,New York,Oswego,36075,36075020901,41.3,2023
NY,New York,Cayuga,36011,36011040800,41.3,2023
NY,New York,Richmond,36085,36085022300,41.3,2023
NY,New York,Bronx,36005,36005036902,41.3,2023
NY,New York,Onondaga,36067,36067000600,41.2,2023
NY,New York,Cayuga,36011,36011040900,41.2,2023
NY,New York,Oswego,36075,36075021501,41.1,2023
NY,New York,Oswego,36075,36075020701,41.1,2023
NY,New York,Wayne,36117,36117020900,41.1,2023
NY,New York,Chemung,36015,36015001000,41.1,2023
NY,New York,Erie,36029,36029005500,41.1,2023
NY,New York,Bronx,36005,36005002701,41.1,2023
NY,New York,Bronx,36005,36005016100,41.0,2023
NY,New York,Schenectady,36093,36093021700,41.0,2023
NY,New York,Orange,36071,36071015005,41.0,2023
NY,New York,Kings,36047,36047090600,41.0,2023
NY,New York,Wyoming,36121,36121970800,41.0,2023
NY,New York,Cayuga,36011,36011040500,41.0,2023
NY,New York,Rensselaer,36083,36083051701,41.0,2023
NY,New York,Broome,36007,36007001300,41.0,2023
NY,New York,Cattaraugus,36009,36009960300,41.0,2023
NY,New York,Oneida,36065,36065021201,40.9,2023
NY,New York,Oswego,36075,36075021000,40.9,2023
NY,New York,Cattaraugus,36009,36009961200,40.9,2023
NY,New York,Cayuga,36011,36011040300,40.9,2023
NY,New York,Onondaga,36067,36067000200,40.9,2023
NY,New York,Bronx,36005,36005007300,40.9,2023
NY,New York,Chautauqua,36013,36013035600,40.9,2023
NY,New York,Orange,36071,36071015100,40.9,2023
NY,New York,Nassau,36059,36059407000,40.9,2023
NY,New York,Kings,36047,36047025902,40.9,2023
NY,New York,Oswego,36075,36075020702,40.9,2023
NY,New York,Broome,36007,36007013500,40.9,2023
NY,New York,Erie,36029,36029004700,40.8,2023
NY,New York,Chautauqua,36013,36013035400,40.8,2023
NY,New York,Oneida,36065,36065021102,40.8,2023
NY,New York,Orleans,36073,36073040801,40.8,2023
NY,New York,Bronx,36005,36005020501,40.8,2023
NY,New York,Erie,36029,36029010300,40.8,2023
NY,New York,Chenango,36017,36017970200,40.8,2023
NY,New York,Oswego,36075,36075020301,40.8,2023
NY,New York,Chenango,36017,36017970400,40.8,2023
NY,New York,Oneida,36065,36065026300,40.8,2023
NY,New York,Cortland,36023,36023970500,40.8,2023
NY,New York,Onondaga,36067,36067000800,40.8,2023
NY,New York,Richmond,36085,36085001100,40.8,2023
NY,New York,St. Lawrence,36089,36089490300,40.7,2023
NY,New York,Kings,36047,36047121400,40.7,2023
NY,New York,Wayne,36117,36117021502,40.7,2023
NY,New York,Orleans,36073,36073040200,40.7,2023
NY,New York,Kings,36047,36047098200,40.7,2023
